cross,"x"
star,"*"
square,"[ ]"
square_small,"[ ]"
square_small_filled,"[x]"
circle,"( )"
circle_filled,"(*)"
circle_dotted,"( )"
circle_double,"(o)"
circle_circle,"(O)"
circle_cross,"(x)"
circle_pipe,"(|)"
circle_question_mark,"(?)"
bullet,"*"
dot,"."
line,"-"
double_line,"="
ellipsis,"..."
continue,"~"
pointer,">"
info,"i"
warning,"!"
menu,"="
smiley,":)"
mustache,"//\\/"
heart,"<3"
arrow_up,"^"
arrow_down,"v"
arrow_left,"<"
arrow_right,">"
radio_on,"(*)"
radio_off,"( )"
checkbox_on,"[x]"
checkbox_off,"[ ]"
checkbox_circle_on,"(x)"
checkbox_circle_off,"( )"
fancy_question_mark,"(?)"
neq,"!="
geq,">="
leq,"<="
times,"x"
